Scraped_URL,Article,Price,Type,date,Bedrooms,Bathrooms,Surface,Neighborhood,City
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,UNIQUE AU CIL,40000,Appartement,2025-04-02,3,3,440,CIL,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"À louer : Appartement haut standing non meublé à Anfa Place, Ain Diab",20000,Appartement,2025-04-02,2,2,145,Ain Diab,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Villa 3 chambres piscine sou-sol,26000,Villa,2025-04-02,3,4,320,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Villa haut standing 4 chambres piscine,32000,Villa,2025-04-02,4,3,440,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Racine, studio meublé entièrement rénové en location 1 CH",8500,Appartement,2025-04-02,1,1,60,Racine,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Location appartement meublé 2chambres Anfa Place Ain Diab, Casablanca",23000,Appartement,2025-04-02,2,2,145,Ain Diab,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Dar bouazza, Magnifique appartement meublé Vue mer en location 2 CH",10000,Appartement,2025-04-02,2,2,120,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Dar bouazza,  location d’un bel appartement meublé RDC 2 CH",11000,Appartement,2025-04-02,2,2,130,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,INCROYABLE TERRASSE,20000,Appartement,2025-04-02,2,2,200,CIL,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,villa en location à Hay Riad,40000,Villa,2025-04-02,5,2,300,Hay Riad,Rabat
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Appartement meublé en location à l'aviation,16000,Appartement,2025-04-02,4,2,150,Aviation,Rabat
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Appartement en location meublé haut d'agdal,14000,Appartement,2025-04-02,4,2,130,Agdal,Rabat
