Scraped_URL,Article,Price,Type,date,Bedrooms,Bathrooms,Surface,Neighborhood,City
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Super appartement à louer CFC sans vis-à-vis,19000,Appartement,2025-05-03,4,3,215,Casablanca Finance City,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Villa neuve moderne avec piscine à Hay Riad Rabat,33000,Villa,2025-05-03,4,2,380,Hay Riad,Rabat
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Villa neuve haut standing à Rabat quartier Souissi,65000,Villa,2025-05-03,5,5,600,Souissi,Rabat
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Villa neuve vue sur mer Harhoura-Rabat,30000,Villa,2025-05-03,3,2,400,Harhoura,Temara
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,À louer – Villa de luxe à Dar Bouazza,35000,Villa,2025-05-03,3,3,380,Tamaris,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Appartement 2 chambres vue sur mer en résidence,9500,Appartement,2025-05-03,2,1,110,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Villa de 1 000 m² à louer sur Hay Riad à Rabat,45000,Villa,2025-05-03,5,6,1000,Hay Riad,Rabat
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,"DAR BOUAZZA, location d’un joli appartement meublé",9500,Appartement,2025-05-03,2,2,112,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Villa neuve de luxe en location à Rabat,60000,Villa,2025-05-03,5,4,570,Souissi,Rabat
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Location villa neuve Hay Riad Rabat,40000,Villa,2025-05-03,4,4,400,Hay Riad,Rabat
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,"Villa de luxe, meublée 3 chambres",22000,Villa,2025-05-03,3,2,190,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Villa vide à louer - Nouinouich,18000,Villa,2025-05-03,3,3,350,Nouinouich,Tanger
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Superbe villa proche de Descartes Rabat,38000,Villa,2025-05-03,6,4,360,Souissi,Rabat
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Belle Villa Meublée en Résidence Fermée,25000,Villa,2025-05-03,3,3,400,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,"Appartement à Louer - Maarif, Centre Ville",12500,Appartement,2025-05-03,2,2,120,Maarif,Casablanca
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=mr&page=1&rp=m,Appartement 2 chambres vue sur mer en résidence,11000,Appartement,2025-05-03,2,2,110,Dar Bouazza,Casablanca
