Scraped_URL,Article,Price,Location,Type,Category,date
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,UNIQUE AU CIL,40 000 MAD/mois,"CIL, Casablanca",Appartement,"3 bedrooms
3 bathrooms
440 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"À louer : Appartement haut standing non meublé à Anfa Place, Ain Diab",20 000 MAD/mois,"Ain Diab, Casablanca",Appartement,"2 bedrooms
2 bathrooms
145 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Villa 3 chambres piscine sou-sol,26 000 MAD/mois,"Dar Bouazza, Casablanca",Villa,"3 bedrooms
4 bathrooms
320 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Villa haut standing 4 chambres piscine,32 000 MAD/mois,"Dar Bouazza, Casablanca",Villa,"4 bedrooms
3 bathrooms
440 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Racine, studio meublé entièrement rénové en location 1 CH",8 500 MAD/mois,"Racine, Casablanca",Appartement,"1 bedroom
1 bathroom
60 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Location appartement meublé 2chambres Anfa Place Ain Diab, Casablanca",23 000 MAD/mois,"Ain Diab, Casablanca",Appartement,"2 bedrooms
2 bathrooms
145 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Dar bouazza, Magnifique appartement meublé Vue mer en location 2 CH",10 000 MAD/mois,"Dar Bouazza, Casablanca",Appartement,"2 bedrooms
2 bathrooms
120 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Dar bouazza,  location d’un bel appartement meublé RDC 2 CH",11 000 MAD/mois,"Dar Bouazza, Casablanca",Appartement,"2 bedrooms
2 bathrooms
130 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,INCROYABLE TERRASSE,20 000 MAD/mois,"CIL, Casablanca",Appartement,"2 bedrooms
2 bathrooms
200 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,villa en location à Hay Riad,40 000 MAD/mois,"Hay Riad, Rabat",Villa,"5 bedrooms
2 bathrooms
300 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Appartement meublé en location à l'aviation,16 000 MAD/mois,"Aviation, Rabat",Appartement,"4 bedrooms
2 bathrooms
150 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Appartement en location meublé haut d'agdal,14 000 MAD/mois,"Agdal, Rabat",Appartement,"4 bedrooms
2 bathrooms
130 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Jolie appartement non meublé à louer sur le haut Agdal,8 000 MAD/mois,"Agdal, Rabat",Appartement,"3 bedrooms
1 bathroom
100 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Appartement de 149 m² à Casablanca,15 000 MAD/mois,"Ain Diab, Casablanca",Appartement,"1 bedroom
1 bathroom
149 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,APPARTEMENT AVEC TERRASSE,8 000 MAD/mois,"Anfa, Casablanca",Appartement,"1 bedroom
1 bathroom
70 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,BEL APPT MEUBLE EN LOCATION OU VENTE TRIANGLE D'OR,15 000 MAD/mois,"Triangle d'Or, Casablanca",Appartement,"3 bedrooms
2 bathrooms
137 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,PLEIN SUD,8 500 MAD/mois,"Dar Bouazza, Casablanca",Appartement,"2 bedrooms
2 bathrooms
102 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Location Appartement spacieux de 169m² Hay Riyad Rabat,19 000 MAD/mois,"Hay Riad, Rabat",Appartement,"3 bedrooms
3 bathrooms
169 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,Location Appartement Meublé Prestige 168m² à Souissi Orangeraie,25 000 MAD/mois,"Souissi, Rabat",Appartement,"3 bedrooms
2 bathrooms
168 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Villa angle, 3 façades, en location meublée, sur Dar Bouazza 3 CH",35 000 MAD/mois,"Dar Bouazza, Casablanca",Villa,"3 bedrooms
2 bathrooms
500 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Jolie Villa jumelée à LOUER, VIDE, angle, Orientée Sud/Ouest 4 CH",15 000 MAD/mois,"Dar Bouazza, Casablanca",Villa,"4 bedrooms
3 bathrooms
280 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,"Dar bouazza, Appartement récent à louer 2 CH",9 500 MAD/mois,"Dar Bouazza, Casablanca",Appartement,"2 bedrooms
2 bathrooms
125 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,SUBLIME APPT MEUBLE EN LOCATION CFC,13 000 MAD/mois,"Casablanca Finance City, Casablanca",Appartement,"2 bedrooms
2 bathrooms
90 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,LA JOLIE VUE,13 000 MAD/mois,"CIL, Casablanca",Appartement,"2 bedrooms
2 bathrooms
100 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=1&rp=m,SUPERBE COCON,20 000 MAD/mois,"Racine, Casablanca",Appartement,"2 bedrooms
2 bathrooms
170 m²",2025-04-02
https://www.sarouty.ma/fr/recherche?c=2&fu=0&ob=nd&page=2&rp=m,"Location Appartement Fonctionnel de 52m² à Hay Riyad, Rabat",6 500 MAD/mois,"Hay Riad, Rabat",Appartement,"1 bedroom
1 bathroom
52 m²",2025-04-02
