Scraped_URL,Article,Price,Location,Type,Category,date
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,À vendre – Villa de standing à Akenza Golf Resort,4 500 000 MAD,"Route d'Ourika, Marrakech",Villa,"4 bedrooms
2 bathrooms
230 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,"Appartement équipé et meublé à vendre – Quartier Hay Charaf, Marrakech",850 000 MAD,"Hay Charaf, Marrakech",Appartement,"2 bedrooms
2 bathrooms
75 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Maison de R+2 à vendre Rt Casablanca,2 500 000 MAD,"Annakhil, Marrakech",Maison,"3 bedrooms
3 bathrooms
283 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Appart NEUVE AV QUARTIER RACINE,2 750 000 MAD,"Racine, Casablanca",Appartement,"3 bedrooms
3 bathrooms
170 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Bel villa avec piscine à hay riad,9 500 000 MAD,"Hay Riad, Rabat",Villa,"6 bedrooms
3 bathrooms
545 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Appartement en vente à Oulad Mtae,2 800 000 MAD,"indéfini, Temara",Appartement,"3 bedrooms
2 bathrooms
118 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Appartement en vente à El Wifaq,1 500 000 MAD,"indéfini, Temara",Appartement,"3 bedrooms
2 bathrooms
92 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Bel appartement en vente à wifaq,1 500 000 MAD,"indéfini, Temara",Appartement,"3 bedrooms
2 bathrooms
92 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Appartement en vente à Prestigia,44 600 000 MAD,"Hay Riad, Rabat",Appartement,"4 bedrooms
2 bathrooms
203 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,TERRAIN ZONE VILLAS D2S MARRAKECH,38 000 000 MAD,"Route de Tahanaoute, Marrakech",Terrain,70 000 000 m²,2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,À vendre – Villa jumelée de standing à Bouskoura Golf City – Opportunité rare,6 500 000 MAD,"Casa Green Town, Bouskoura",Villa,"4 bedrooms
3 bathrooms
427 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,"Racine, vente d’un joli appartement proche rond point des sports 3 CH",3 116 000 MAD,"Racine, Casablanca",Appartement,"3 bedrooms
2 bathrooms
183 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Duplex à vendre au cœur de Marrakech,1 000 000 MAD,"Avenue Yacoub El Mansour, Marrakech",Duplex,"2 bedrooms
2 bathrooms
74 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,MODERNE,3 900 000 MAD,"Racine, Casablanca",Appartement,"3 bedrooms
2 bathrooms
177 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,COEUR D'ANFA SUPERIEUR,75 000 000 MAD,"Anfa Supérieur, Casablanca",Villa,"6 bedrooms
6 bathrooms
3 000 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,RARE,7 250 000 MAD,"CIL, Casablanca",Villa,"4 bedrooms
4 bathrooms
400 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,VUE DEGAGEE,28 000 000 MAD,"Anfa Supérieur, Casablanca",Villa,"6 bedrooms
6 bathrooms
1 200 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,RARE,15 000 000 MAD,"CIL, Casablanca",Villa,"4 bedrooms
4 bathrooms
800 m²",2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Lot de villa de 707 m² 2 façades à Targa Marrakech,2 800 000 MAD,"Targa, Marrakech",Terrain,707 m²,2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,lot de terrain 400 m² à vendre Targa Marrakech,1 500 000 MAD,"Targa, Marrakech",Terrain,400 m²,2025-04-26
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Vente Maison 6 pièces de 59 m2 à Marrakech,950 000 MAD,"Ancienne Médina, Marrakech",Villa,"5 bedrooms
1 bathroom
59 m²",2025-04-26
